model,split_family,analysis_branch,n_units,AAC_MCC,PLM_MCC,Delta_MCC,AAC_AUROC,PLM_AUROC,Delta_AUROC,AAC_AUPRC,PLM_AUPRC,Delta_AUPRC,AAC_F1,PLM_F1,Delta_F1,AAC_Sp,PLM_Sp,Delta_Sp,AAC_Sn,PLM_Sn,Delta_Sn,integration_status
LR_L2,r02a_sequence_cluster_hard_split,core_only,4,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.1024346772261283,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.6419455169455169,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.9095412970090542,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.8104448846321675,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.3526785714285714,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.7719594594594595,PENDING,PLM addendum PASS; matched AAC core-only hard-split reference still required for final delta columns
LinearSVM,r02a_sequence_cluster_hard_split,core_only,4,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.1558576076363613,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.6489536411411412,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.91417557000105,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.8401190535299538,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.3482142857142857,PENDING,PENDING_AAC_R02A_CORE_ONLY_EXTRACTION,0.8203828828828829,PENDING,PLM addendum PASS; matched AAC core-only hard-split reference still required for final delta columns
