model,split_family,analysis_branch,n_units,AAC_MCC,PLM_MCC,Delta_MCC,AAC_AUROC,PLM_AUROC,Delta_AUROC,AAC_AUPRC,PLM_AUPRC,Delta_AUPRC,AAC_F1,PLM_F1,Delta_F1,AAC_Sp,PLM_Sp,Delta_Sp,AAC_Sn,PLM_Sn,Delta_Sn,integration_status
LR_L2,random_cv_R1_R10,core_only,40,0.246,0.3044357291537269,0.0584357291537269,0.72,0.764107410982411,0.044107410982411,0.933,0.9409060109220004,0.0079060109220003,0.787,0.8394516282000118,0.0524516282000118,0.604,0.5741071428571429,-0.029892857142857,0.705,0.7867492492492494,0.0817492492492494,
LR_L2,random_cv_R1_R10,sensplus,40,0.253,0.2932341999384874,0.0402341999384874,0.709,0.7533150337837838,0.0443150337837838,0.925,0.9325335162084348,0.0075335162084347,0.773,0.8261543064089633,0.0531543064089632,0.625,0.571875,-0.0531249999999999,0.687,0.7715840840840842,0.0845840840840841,
LR_L2,r02a_sequence_cluster_hard_split,sensplus,4,0.142283,0.0719235658251367,-0.0703594341748632,0.636379,0.6410707582582583,0.0046917582582582,0.902119,0.9050264738017124,0.0029074738017124,0.753751,0.7822309286257152,0.0284799286257152,0.5,0.34375,-0.15625,0.675676,0.7374249249249248,0.0617489249249247,
LinearSVM,random_cv_R1_R10,core_only,40,0.285,0.2856475547961944,0.0006475547961944,0.735,0.7466129075504074,0.0116129075504074,0.939,0.934565922334384,-0.0044340776656159,0.791,0.8646922849576321,0.073692284957632,0.664,0.465625,-0.198375,0.701,0.843993993993994,0.142993993993994,
LinearSVM,random_cv_R1_R10,sensplus,40,0.271,0.2814646994307769,0.0104646994307768,0.728,0.7409792605105106,0.0129792605105105,0.932,0.9271585549859636,-0.0048414450140364,0.775,0.8512107747221176,0.0762107747221175,0.656,0.48125,-0.17475,0.683,0.8267454954954957,0.1437454954954956,
LinearSVM,r02a_sequence_cluster_hard_split,sensplus,4,0.104113,0.1155852624168649,0.0114722624168649,0.62317,0.6558511636636637,0.0326811636636636,0.895122,0.9107263044854408,0.0156043044854408,0.733382,0.8228700473637937,0.0894880473637936,0.46875,0.3125,-0.15625,0.654842,0.8063063063063063,0.1514643063063062,
LR_L2,r02a_sequence_cluster_hard_split,core_only,4,0.1384125022389649,0.1024346772261283,-0.0359778250128366,0.6325544294294294,0.6419455169455169,0.009391087516087526,0.9039961211599584,0.9095412970090542,0.0055451758490957515,0.7658705022895462,0.8104448846321675,0.04457438234262123,0.4955357142857142,0.3526785714285714,-0.1428571428571428,0.6895645645645646,0.7719594594594595,0.08239489489489493,COMPLETE: AAC R02A core-only reference computed from R02A hard-split assignments with sensitivity rows excluded; descriptive n=4 comparison only.
LinearSVM,r02a_sequence_cluster_hard_split,core_only,4,0.1698657547790571,0.1558576076363613,-0.014008147142695798,0.6099146021021021,0.6489536411411412,0.03903903903903905,0.8936986959785288,0.91417557000105,0.020476874022521185,0.7534617867717448,0.8401190535299538,0.08665726675820895,0.5580357142857142,0.3482142857142857,-0.2098214285714285,0.6619744744744744,0.8203828828828829,0.15840840840840842,COMPLETE: AAC R02A core-only reference computed from R02A hard-split assignments with sensitivity rows excluded; descriptive n=4 comparison only.
