run_id,feature,model,model_key,split_family,analysis_branch,fold_id,threshold,score_type,train_n,train_pos,train_neg,test_n,test_pos,test_neg,accuracy,f1,precision,recall,sensitivity,specificity,mcc,auroc,auprc,tp,tn,fp,fn,n_iter,classifier_training_performed,metrics_computed,claim_boundary
AAC_R02A_CORE_ONLY_LR_L2_F1,AAC_reference,LR_L2,logistic_regression_l2,r02a_sequence_cluster_hard_split,core_only,1,0.5,prob_positive,130,108,22,44,37,7,0.7272727272727273,0.8125,0.9629629629629629,0.7027027027027027,0.7027027027027027,0.8571428571428571,0.4205443256051688,0.7335907335907337,0.9430806938927232,26,6,1,11,4,True,True,"R02A core-only AAC matched reference; descriptive only, n=4 outer folds."
AAC_R02A_CORE_ONLY_LR_L2_F2,AAC_reference,LR_L2,logistic_regression_l2,r02a_sequence_cluster_hard_split,core_only,2,0.5,prob_positive,131,109,22,43,36,7,0.5116279069767442,0.6440677966101694,0.8260869565217391,0.5277777777777778,0.5277777777777778,0.42857142857142855,-0.03230825477230273,0.5515873015873015,0.8845848836881599,19,3,4,17,3,True,True,"R02A core-only AAC matched reference; descriptive only, n=4 outer folds."
AAC_R02A_CORE_ONLY_LR_L2_F3,AAC_reference,LR_L2,logistic_regression_l2,r02a_sequence_cluster_hard_split,core_only,3,0.5,prob_positive,130,109,21,44,36,8,0.6590909090909091,0.7887323943661971,0.8,0.7777777777777778,0.7777777777777778,0.125,-0.09296222517045284,0.5902777777777777,0.885084808164121,28,1,7,8,3,True,True,"R02A core-only AAC matched reference; descriptive only, n=4 outer folds."
AAC_R02A_CORE_ONLY_LR_L2_F4,AAC_reference,LR_L2,logistic_regression_l2,r02a_sequence_cluster_hard_split,core_only,4,0.5,prob_positive,131,109,22,43,36,7,0.7209302325581395,0.8181818181818182,0.9,0.75,0.75,0.5714285714285714,0.25837616329344654,0.6547619047619048,0.9032340988948301,27,4,3,9,3,True,True,"R02A core-only AAC matched reference; descriptive only, n=4 outer folds."
AAC_R02A_CORE_ONLY_LinearSVM_F1,AAC_reference,LinearSVM,linear_svm,r02a_sequence_cluster_hard_split,core_only,1,0.0,decision_function,130,108,22,44,37,7,0.7045454545454546,0.7936507936507936,0.9615384615384616,0.6756756756756757,0.6756756756756757,0.8571428571428571,0.3963750207986839,0.725868725868726,0.9409115637112271,25,6,1,12,5,True,True,"R02A core-only AAC matched reference; descriptive only, n=4 outer folds."
AAC_R02A_CORE_ONLY_LinearSVM_F2,AAC_reference,LinearSVM,linear_svm,r02a_sequence_cluster_hard_split,core_only,2,0.0,decision_function,131,109,22,43,36,7,0.5348837209302325,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.42857142857142855,-0.011799872090079811,0.5119047619047619,0.8758445518466705,20,3,4,16,4,True,True,"R02A core-only AAC matched reference; descriptive only, n=4 outer folds."
AAC_R02A_CORE_ONLY_LinearSVM_F3,AAC_reference,LinearSVM,linear_svm,r02a_sequence_cluster_hard_split,core_only,3,0.0,decision_function,130,109,21,44,36,8,0.7045454545454546,0.8115942028985508,0.8484848484848485,0.7777777777777778,0.7777777777777778,0.375,0.13608276348795434,0.5590277777777778,0.8522280263515997,28,3,5,8,5,True,True,"R02A core-only AAC matched reference; descriptive only, n=4 outer folds."
AAC_R02A_CORE_ONLY_LinearSVM_F4,AAC_reference,LinearSVM,linear_svm,r02a_sequence_cluster_hard_split,core_only,4,0.0,decision_function,131,109,22,43,36,7,0.627906976744186,0.7419354838709677,0.8846153846153846,0.6388888888888888,0.6388888888888888,0.5714285714285714,0.15880510691967015,0.6428571428571428,0.9058106420046176,23,4,3,13,4,True,True,"R02A core-only AAC matched reference; descriptive only, n=4 outer folds."
