feature,model_id,split_family,analysis_branch,n_units,mcc_mean,mcc_std,mcc_median,auroc_mean,auroc_std,auroc_median,auprc_mean,auprc_std,auprc_median,f1_mean,f1_std,f1_median,precision_mean,precision_std,precision_median,sensitivity_mean,sensitivity_std,sensitivity_median,specificity_mean,specificity_std,specificity_median,train_n_mean,test_n_mean
ESM2_frozen_embedding,ESM2_LR_L2,r02a_sequence_cluster_hard_split,sensplus,4,0.07192356582513673,0.22822893509047865,0.04351222335350678,0.6410707582582583,0.14740948006050777,0.6371527777777779,0.9050264738017123,0.04535627136796122,0.9061430905602623,0.7822309286257152,0.06598219982815565,0.7776814734561214,0.8348605232364965,0.055627033030690054,0.8280788177339902,0.7374249249249248,0.08173276230265816,0.7361111111111112,0.34375,0.21347814095749162,0.3125,132.75,44.25
ESM2_frozen_embedding,ESM2_LR_L2,random_cv_R1_R10,core_only,40,0.30443572915372696,0.13640672491339653,0.2849712268937659,0.764107410982411,0.09796601390745602,0.7757936507936507,0.9409060109220004,0.03337244417541742,0.9481845327829252,0.8394516282000118,0.0381769988206921,0.8345771144278606,0.9035671075474493,0.03722936612525849,0.9,0.7867492492492494,0.061725660544596696,0.7807807807807807,0.5741071428571429,0.16943427508637385,0.5714285714285714,130.5,43.5
ESM2_frozen_embedding,ESM2_LR_L2,random_cv_R1_R10,sensplus,40,0.2932341999384874,0.14611368972236577,0.2946562276904763,0.7533150337837838,0.09227252579580845,0.7619650900900901,0.9325335162084347,0.03399177333060976,0.9370601385173769,0.8261543064089633,0.04076773121529793,0.8269841269841269,0.8917669859974524,0.03938581449719825,0.8823529411764706,0.7715840840840842,0.05715088707186243,0.7777777777777778,0.571875,0.15984643070852853,0.5,132.75,44.25
ESM2_frozen_embedding,ESM2_LinearSVM,r02a_sequence_cluster_hard_split,sensplus,4,0.11558526241686491,0.2650960611099476,0.041666666666666664,0.6558511636636637,0.14706443947691292,0.6666666666666667,0.9107263044854408,0.04220409602120421,0.9172429775324251,0.8228700473637937,0.060488415897203746,0.8079710144927537,0.8405748663101604,0.05323571390959868,0.8257575757575758,0.8063063063063063,0.0692727770235572,0.7916666666666667,0.3125,0.21650635094610965,0.25,132.75,44.25
ESM2_frozen_embedding,ESM2_LinearSVM,random_cv_R1_R10,core_only,40,0.2856475547961944,0.1496622304528362,0.2782706909370396,0.7466129075504074,0.10468733669490833,0.7638888888888888,0.9345659223343841,0.03811104360541971,0.9430454701726924,0.8646922849576321,0.0338957895167709,0.8749758826934207,0.8884484286106863,0.03401951642463416,0.8873015873015873,0.843993993993994,0.05193963270445019,0.8611111111111112,0.465625,0.16913663143025848,0.42857142857142855,130.5,43.5
ESM2_frozen_embedding,ESM2_LinearSVM,random_cv_R1_R10,sensplus,40,0.2814646994307769,0.15704515404080452,0.3086577486215038,0.7409792605105106,0.09749887324106499,0.7465277777777778,0.9271585549859637,0.037218011024247356,0.9296459310691605,0.8512107747221176,0.03393913622767031,0.8571428571428571,0.8800174590767756,0.0390967436443237,0.8840336134453781,0.8267454954954957,0.054255133505965523,0.8333333333333334,0.48125,0.18464709930581438,0.5,132.75,44.25
