model,split_family,analysis_branch,metric,n_pairs,aac_mean,plm_mean,delta_mean,delta_sd,delta_bootstrap_ci_low,delta_bootstrap_ci_high,paired_test,p_value
LR_L2,r02a_sequence_cluster_hard_split,sensplus,f1,4,0.7537508234519104,0.7822309286257152,0.0284801051738048,0.0448890702674793,-0.0069035067810327,0.0638637171286424,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,sensplus,mcc,4,0.1041125055314935,0.1155852624168649,0.0114727568853713,0.0917505742118415,-0.0614302152200346,0.1000132374806647,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,sensplus,specificity,4,0.46875,0.3125,-0.15625,0.0625,-0.21875,-0.125,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,sensplus,sensitivity,4,0.6548423423423424,0.8063063063063063,0.1514639639639639,0.106934555632768,0.0681306306306306,0.2361111111111111,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,sensplus,auroc,4,0.623170045045045,0.6558511636636637,0.0326811186186185,0.0716836087488092,-0.0208333333333333,0.0946180555555555,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,sensplus,auprc,4,0.895121827305388,0.9107263044854408,0.0156044771800527,0.0261601778630886,0.0011762409111899,0.0414350281931067,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,sensplus,f1,4,0.7333820812807882,0.8228700473637937,0.0894879660830054,0.0757498071002082,0.0295988258317025,0.154880930070679,descriptive_only_n_lt_10,
LR_L2,r02a_sequence_cluster_hard_split,core_only,mcc,4,0.1384125022389649,0.1024346772261283,-0.0359778250128366,0.0974037565462307,-0.1193820621337349,0.0474264121080616,descriptive_only_n_lt_10,
LR_L2,r02a_sequence_cluster_hard_split,core_only,specificity,4,0.4955357142857142,0.3526785714285714,-0.1428571428571428,0.1166423687039608,-0.2499999999999999,-0.0357142857142857,descriptive_only_n_lt_10,
LR_L2,r02a_sequence_cluster_hard_split,core_only,sensitivity,4,0.6895645645645646,0.7719594594594595,0.0823948948948948,0.0870663203122844,0.0129504504504504,0.1509009009009008,descriptive_only_n_lt_10,
LR_L2,r02a_sequence_cluster_hard_split,core_only,auroc,4,0.6325544294294294,0.6419455169455169,0.0093910875160875,0.1041446826183693,-0.0753968253968253,0.0941790004290004,descriptive_only_n_lt_10,
LR_L2,r02a_sequence_cluster_hard_split,core_only,auprc,4,0.9039961211599584,0.9095412970090542,0.0055451758490956,0.0269430097033863,-0.0193823583422029,0.0239411915714525,descriptive_only_n_lt_10,
LR_L2,r02a_sequence_cluster_hard_split,core_only,f1,4,0.7658705022895462,0.8104448846321675,0.0445743823426211,0.0573799922514962,-0.0044237012987013,0.0877075729102671,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,core_only,mcc,4,0.1698657547790571,0.1558576076363613,-0.0140081471426957,0.0981330893895639,-0.0925750219238394,0.0645587276384478,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,core_only,specificity,4,0.5580357142857142,0.3482142857142857,-0.2098214285714285,0.0879362303731795,-0.2857142857142857,-0.1339285714285714,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,core_only,sensitivity,4,0.6619744744744744,0.8203828828828829,0.1584084084084084,0.040266190667303,0.125,0.1918168168168168,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,core_only,auroc,4,0.6099146021021021,0.6489536411411412,0.039039039039039,0.1127559981389793,-0.0515873015873015,0.1296653796653796,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,core_only,auprc,4,0.8936986959785288,0.9141755700010498,0.020476874022521,0.0451527762793486,-0.0149401483915357,0.0639977599710466,descriptive_only_n_lt_10,
LinearSVM,r02a_sequence_cluster_hard_split,core_only,f1,4,0.7534617867717448,0.8401190535299538,0.086657266758209,0.0300357552138595,0.0614646904969485,0.1118498430194695,descriptive_only_n_lt_10,
