run_id,feature,model_id,model_family,split_family,analysis_branch,replicate_id,fold_id,threshold,train_n,test_n,train_pos,train_neg,test_pos,test_neg,mcc,auroc,auprc,f1,precision,sensitivity,specificity,tp,tn,fp,fn
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R03_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R03,4,0.5,131,43,109,22,36,7,0.14697408781305385,0.7738095238095237,0.9514994211281913,0.8059701492537313,0.8709677419354839,0.75,0.42857142857142855,27,3,4,9
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R04_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R04,1,0.5,130,44,108,22,37,7,0.3572041737052757,0.7258687258687259,0.9345131271613616,0.8732394366197183,0.9117647058823529,0.8378378378378378,0.5714285714285714,31,4,3,6
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R04_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R04,2,0.5,130,44,109,21,36,8,0.43704152091682436,0.8715277777777778,0.9719741987831219,0.8484848484848485,0.9333333333333333,0.7777777777777778,0.75,28,6,2,8
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R04_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R04,3,0.5,131,43,109,22,36,7,0.36578220582351284,0.7777777777777778,0.9463622844641645,0.8307692307692308,0.9310344827586207,0.75,0.7142857142857143,27,5,2,9
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R04_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R04,4,0.5,131,43,109,22,36,7,0.35370641089500354,0.7857142857142857,0.9506633318479908,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.5714285714285714,30,4,3,6
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R05_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R05,1,0.5,130,44,108,22,37,7,0.17937400083354382,0.8262548262548263,0.9653953020957367,0.8285714285714286,0.8787878787878788,0.7837837837837838,0.42857142857142855,29,3,4,8
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R05_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R05,2,0.5,130,44,109,21,36,8,0.15821481751152242,0.6979166666666666,0.9192485670953221,0.7692307692307693,0.8620689655172413,0.6944444444444444,0.5,25,4,4,11
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R05_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R05,3,0.5,131,43,109,22,36,7,0.14697408781305385,0.44841269841269843,0.8269544604071001,0.8059701492537313,0.8709677419354839,0.75,0.42857142857142855,27,3,4,9
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R05_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R05,4,0.5,131,43,109,22,36,7,0.35370641089500354,0.8492063492063491,0.971152095115675,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.5714285714285714,30,4,3,6
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R06_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R06,1,0.5,130,44,108,22,37,7,0.5054776042999184,0.8803088803088803,0.9766918695279161,0.9014084507042254,0.9411764705882353,0.8648648648648649,0.7142857142857143,32,5,2,5
