run_id,addendum_id,feature,model_id,model_family,split_family,analysis_branch,source_analysis_branch,replicate_id,fold_id,threshold,train_n,test_n,train_pos,train_neg,test_pos,test_neg,mcc,auroc,auprc,f1,precision,sensitivity,specificity,tp,tn,fp,fn
PLM_R02A_COREONLY_ADDENDUM_ESM2_LR_L2_R02A_fold1,PLM_R02A_CORE_ONLY_ADDENDUM_1_0,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,r02a_sequence_cluster_hard_split,core_only,sensplus,R02A,1,0.5,130,44,108,22,37,7,0.46637240216721393,0.8455598455598455,0.964547634894978,0.8857142857142857,0.9393939393939394,0.8378378378378378,0.7142857142857143,31,5,2,6
PLM_R02A_COREONLY_ADDENDUM_ESM2_LR_L2_R02A_fold2,PLM_R02A_CORE_ONLY_ADDENDUM_1_0,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,r02a_sequence_cluster_hard_split,core_only,sensplus,R02A,2,0.5,131,43,109,22,36,7,-0.1339097244518935,0.4365079365079365,0.8515860922311377,0.746268656716418,0.8064516129032258,0.6944444444444444,0.14285714285714285,25,1,6,11
PLM_R02A_COREONLY_ADDENDUM_ESM2_LR_L2_R02A_fold3,PLM_R02A_CORE_ONLY_ADDENDUM_1_0,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,r02a_sequence_cluster_hard_split,core_only,sensplus,R02A,3,0.5,130,44,109,21,36,8,-0.043937477516374675,0.6666666666666666,0.9115002503047714,0.821917808219178,0.8108108108108109,0.8333333333333334,0.125,30,1,7,6
PLM_R02A_COREONLY_ADDENDUM_ESM2_LR_L2_R02A_fold4,PLM_R02A_CORE_ONLY_ADDENDUM_1_0,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,r02a_sequence_cluster_hard_split,core_only,sensplus,R02A,4,0.5,131,43,109,22,36,7,0.1212135087055675,0.6190476190476191,0.9105312106053298,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.42857142857142855,26,3,4,10
PLM_R02A_COREONLY_ADDENDUM_ESM2_LinearSVM_R02A_fold1,PLM_R02A_CORE_ONLY_ADDENDUM_1_0,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,r02a_sequence_cluster_hard_split,core_only,sensplus,R02A,1,0.0,130,44,108,22,37,7,0.5054776042999184,0.8185328185328186,0.9572682728244193,0.9014084507042254,0.9411764705882353,0.8648648648648649,0.7142857142857143,32,5,2,5
PLM_R02A_COREONLY_ADDENDUM_ESM2_LinearSVM_R02A_fold2,PLM_R02A_CORE_ONLY_ADDENDUM_1_0,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,r02a_sequence_cluster_hard_split,core_only,sensplus,R02A,2,0.0,131,43,109,22,36,7,-0.09362816758985389,0.4246031746031746,0.8504721176202256,0.782608695652174,0.8181818181818182,0.75,0.14285714285714285,27,1,6,9
PLM_R02A_COREONLY_ADDENDUM_ESM2_LinearSVM_R02A_fold3,PLM_R02A_CORE_ONLY_ADDENDUM_1_0,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,r02a_sequence_cluster_hard_split,core_only,sensplus,R02A,3,0.0,130,44,109,21,36,8,0.15609763526361567,0.7256944444444444,0.9347619356920243,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.25,32,2,6,4
PLM_R02A_COREONLY_ADDENDUM_ESM2_LinearSVM_R02A_fold4,PLM_R02A_CORE_ONLY_ADDENDUM_1_0,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,r02a_sequence_cluster_hard_split,core_only,sensplus,R02A,4,0.0,131,43,109,22,36,7,0.055483358571765264,0.626984126984127,0.9141999538675301,0.8115942028985508,0.8484848484848485,0.7777777777777778,0.2857142857142857,28,2,5,8
