model_key,comparison,delta_accuracy_mean,delta_f1_mean,delta_precision_mean,delta_sensitivity_mean,delta_specificity_mean,delta_mcc_mean,delta_auroc_mean,delta_auprc_mean
logistic_regression_l2,CKSAAP_k1_minus_AAC_reference_on_sensplus,0.07558080808080814,0.06305528378043657,-0.00121335651934118,0.10330330330330328,-0.050000000000000044,0.06936056317342415,0.007416009759759756,-0.019912887885081387
linear_svm,CKSAAP_k1_minus_AAC_reference_on_sensplus,0.07897727272727273,0.06652560373020733,-0.007922085468231144,0.11509009009009008,-0.08437499999999998,0.057883576083747834,-0.004610078828828912,-0.02201247338826795
