feature_set,model_key,n_folds,accuracy_mean,accuracy_sd,f1_mean,f1_sd,mcc_mean,mcc_sd,auroc_mean,auroc_sd,auprc_mean,auprc_sd,specificity_mean,specificity_sd,sensitivity_mean,sensitivity_sd
AAC_plus_physchem,linear_svm,4,0.6101010101010101,0.08406625962019453,0.7316655321647965,0.07560841582833805,0.03043798497815558,0.12032878220101272,0.542065503003003,0.11456003973319083,0.8589433198962169,0.047155206906440005,0.375,0.1767766952966369,0.6623498498498499,0.11734048506411045
AAC_plus_physchem,logistic_regression_l2,4,0.5987373737373738,0.08646694748189067,0.722021444908769,0.07558511361624788,0.019577034085401016,0.13112068416667563,0.5542886636636637,0.09540039497651721,0.8654343195964129,0.03691911243293956,0.375,0.1767766952966369,0.648460960960961,0.1155495810665865
AAC_reference,linear_svm,4,0.5820707070707071,0.11273492063408948,0.7051075268817204,0.09708581845573074,0.007208604310511978,0.13482906730795513,0.5459834834834836,0.06861386294612475,0.8718604777195338,0.030150467348702654,0.375,0.14433756729740643,0.628003003003003,0.14431804137541435
AAC_reference,logistic_regression_l2,4,0.5934343434343434,0.11466982363376493,0.710584172063546,0.09877649338368615,0.06045790040707909,0.12203650084533847,0.5590043168168168,0.06723688749616484,0.8761397736581142,0.026100972039120998,0.4375,0.07216878364870322,0.628003003003003,0.14431804137541435
