run_id,model_key,analysis_branch,split,fold,train_n,train_pos,train_neg,test_n,test_pos,test_neg,score_type,accuracy,f1,mcc,auroc,auprc,precision,sensitivity,specificity,tp,tn,fp,fn,support,pos_n,neg_n
PILOT-R04-SENSPLUS-logistic_regression_l2-F1,logistic_regression_l2,sensplus,P02A_sequence_cluster_hard_split,1,132,108,24,45,37,8,probability,0.7333333333333333,0.8125,0.45085004798243705,0.7364864864864865,0.9398409607572273,0.9629629629629629,0.7027027027027027,0.875,26,7,1,11,45,37,8
PILOT-R04-SENSPLUS-logistic_regression_l2-F2,logistic_regression_l2,sensplus,P02A_sequence_cluster_hard_split,2,133,109,24,44,36,8,probability,0.5,0.6333333333333333,-0.07530800950958866,0.53125,0.8675137758411973,0.7916666666666666,0.5277777777777778,0.375,19,3,5,17,44,36,8
PILOT-R04-SENSPLUS-logistic_regression_l2-F3,logistic_regression_l2,sensplus,P02A_sequence_cluster_hard_split,3,133,109,24,44,36,8,probability,0.7045454545454546,0.8115942028985508,0.13608276348795434,0.625,0.9011327507141977,0.8484848484848485,0.7777777777777778,0.375,28,3,5,8,44,36,8
PILOT-R04-SENSPLUS-logistic_regression_l2-F4,logistic_regression_l2,sensplus,P02A_sequence_cluster_hard_split,4,133,109,24,44,36,8,probability,0.6363636363636364,0.7575757575757576,0.05750546327852952,0.6527777777777778,0.8999879745509797,0.8333333333333334,0.6944444444444444,0.375,25,3,5,11,44,36,8
PILOT-R04-SENSPLUS-linear_svm-F1,linear_svm,sensplus,P02A_sequence_cluster_hard_split,1,132,108,24,45,37,8,decision_function,0.7111111111111111,0.8,0.35698951966045095,0.7635135135135136,0.9490330958541118,0.9285714285714286,0.7027027027027027,0.75,26,6,2,11,45,37,8
PILOT-R04-SENSPLUS-linear_svm-F2,linear_svm,sensplus,P02A_sequence_cluster_hard_split,2,133,109,24,44,36,8,decision_function,0.45454545454545453,0.5862068965517241,-0.11785113019775792,0.4895833333333333,0.8570336852004208,0.7727272727272727,0.4722222222222222,0.375,17,3,5,19,44,36,8
PILOT-R04-SENSPLUS-linear_svm-F3,linear_svm,sensplus,P02A_sequence_cluster_hard_split,3,133,109,24,44,36,8,decision_function,0.7272727272727273,0.8285714285714286,0.16617574758359693,0.6145833333333334,0.8849747039764349,0.8529411764705882,0.8055555555555556,0.375,29,3,5,7,44,36,8
PILOT-R04-SENSPLUS-linear_svm-F4,linear_svm,sensplus,P02A_sequence_cluster_hard_split,4,133,109,24,44,36,8,decision_function,0.5909090909090909,0.71875,0.01113588507968435,0.6250000000000001,0.8894458241905845,0.8214285714285714,0.6388888888888888,0.375,23,3,5,13,44,36,8
