model_key,analysis_branch,n_replicates,accuracy_mean_across_replicates,accuracy_sd_across_replicates,f1_mean_across_replicates,f1_sd_across_replicates,mcc_mean_across_replicates,mcc_sd_across_replicates,auroc_mean_across_replicates,auroc_sd_across_replicates,auprc_mean_across_replicates,auprc_sd_across_replicates,precision_mean_across_replicates,precision_sd_across_replicates,sensitivity_mean_across_replicates,sensitivity_sd_across_replicates,specificity_mean_across_replicates,specificity_sd_across_replicates
linear_svm,core_only,10,0.6948757928118393,0.023139593000110644,0.7906730459236337,0.018419983408477683,0.2854606411022665,0.04860413348418917,0.7351183773058773,0.02892009112712555,0.9387041321893465,0.008339160367385247,0.9156638110237902,0.013562555008605794,0.7012575075075075,0.023244336917263263,0.6638392857142857,0.05081578332599048
linear_svm,sensplus,10,0.6780429292929293,0.015273829386552366,0.7750341975901206,0.012146577510213948,0.2713537536048627,0.03725656241847539,0.7278035848348349,0.02395127922668206,0.932426133688431,0.007520190956905018,0.9015996775158767,0.013260503142214025,0.6828078078078078,0.017093438553946762,0.65625,0.04658474953124562
logistic_regression_l2,core_only,10,0.6879140239605356,0.032284897661127895,0.7873151837770537,0.024912670513250284,0.24575601745021747,0.06287622254631922,0.720017227048477,0.03221998679215865,0.9331260934614007,0.0096547382029642,0.9012719545542576,0.016011590638776278,0.7046921921921923,0.03115291479454679,0.6044642857142857,0.0544406987697594
logistic_regression_l2,sensplus,10,0.6756818181818182,0.02577608212620334,0.7734613681364405,0.01948031632069293,0.25301980365644666,0.06081707056846291,0.7092483108108107,0.03267920699123174,0.9248833940962361,0.010204774958753885,0.8946754989529838,0.019461665139888843,0.6868430930930931,0.021334154900287346,0.625,0.06073908223797188
random_forest,core_only,10,0.8448690392295043,0.009041024019146004,0.9137537667750859,0.005105747273777725,0.24278667499038226,0.05924985753147121,0.771514203936079,0.0537018225281576,0.939742169306517,0.016758209874648766,0.8514850535171011,0.006006691665675433,0.986204954954955,0.007983164392741103,0.1392857142857143,0.03913435850851545
random_forest,sensplus,10,0.8315782828282828,0.008411919440838692,0.905767412568969,0.0047481015137732716,0.22207449490513487,0.06548035852842496,0.7311620213963964,0.04518870897689774,0.9179808665021062,0.015727590736087205,0.8366837547339533,0.005354468091244709,0.9875375375375376,0.0071240053448080485,0.125,0.03294039229342062
