model_key,R03_random_sensplus_accuracy_mean,R04_hardsplit_sensplus_accuracy_mean,delta_R04_minus_R03_accuracy,R03_random_sensplus_f1_mean,R04_hardsplit_sensplus_f1_mean,delta_R04_minus_R03_f1,R03_random_sensplus_mcc_mean,R04_hardsplit_sensplus_mcc_mean,delta_R04_minus_R03_mcc,R03_random_sensplus_auroc_mean,R04_hardsplit_sensplus_auroc_mean,delta_R04_minus_R03_auroc,R03_random_sensplus_auprc_mean,R04_hardsplit_sensplus_auprc_mean,delta_R04_minus_R03_auprc,R03_random_sensplus_specificity_mean,R04_hardsplit_sensplus_specificity_mean,delta_R04_minus_R03_specificity,R03_random_sensplus_sensitivity_mean,R04_hardsplit_sensplus_sensitivity_mean,delta_R04_minus_R03_sensitivity
logistic_regression_l2,0.676,0.644,-0.032,0.773,0.754,-0.019,0.253,0.142,-0.111,0.709,0.636,-0.073,0.925,0.902,-0.023,0.625,0.500,-0.125,0.687,0.676,-0.011
linear_svm,0.678,0.621,-0.057,0.775,0.733,-0.042,0.271,0.104,-0.167,0.728,0.623,-0.105,0.932,0.895,-0.037,0.656,0.469,-0.187,0.683,0.655,-0.028
