run_id,replicate,analysis_branch,fold,positive_sample_seed,fold_split_seed,feature_set,model,solver,class_weight,penalty,max_iter,threshold,accuracy,f1,mcc,auroc,auprc,precision,sensitivity,specificity,tp,tn,fp,fn,support,pos_n,neg_n
PILOT-R01-R04-core_only-F3,R04,core_only,3,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6744186046511628,0.7878787878787878,0.1212135087055675,0.738095238095238,0.9445459863234342,0.8666666666666667,0.7222222222222222,0.42857142857142855,26,3,4,10,43,36,7
PILOT-R01-R04-core_only-F4,R04,core_only,4,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6976744186046512,0.8,0.23134942932427308,0.6984126984126985,0.9349525142564102,0.896551724137931,0.7222222222222222,0.5714285714285714,26,4,3,10,43,36,7
PILOT-R01-R04-sensplus-F1,R04,sensplus,1,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.5777777777777777,0.6545454545454545,0.3796631983009996,0.8243243243243243,0.9602264871394988,1.0,0.4864864864864865,1.0,18,8,0,19,45,37,8
PILOT-R01-R04-sensplus-F2,R04,sensplus,2,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7272727272727273,0.8235294117647058,0.24056261216234406,0.71875,0.9261082529198681,0.875,0.7777777777777778,0.5,28,4,4,8,44,36,8
PILOT-R01-R04-sensplus-F3,R04,sensplus,3,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7045454545454546,0.8059701492537313,0.21134098610290408,0.7638888888888888,0.941963315336042,0.8709677419354839,0.75,0.5,27,4,4,9,44,36,8
PILOT-R01-R04-sensplus-F4,R04,sensplus,4,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6136363636363636,0.7301587301587301,0.11001639366407491,0.6527777777777778,0.9128155042035331,0.8518518518518519,0.6388888888888888,0.5,23,4,4,13,44,36,8
PILOT-R01-R05-core_only-F1,R05,core_only,1,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7878787878787878,0.21152603960959654,0.7413127413127413,0.9473176761385413,0.896551724137931,0.7027027027027027,0.5714285714285714,26,4,3,11,44,37,7
PILOT-R01-R05-core_only-F2,R05,core_only,2,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6363636363636364,0.7333333333333333,0.2797154638927579,0.6840277777777777,0.91337376302123,0.9166666666666666,0.6111111111111112,0.75,22,6,2,14,44,36,8
PILOT-R01-R05-core_only-F3,R05,core_only,3,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7674418604651163,0.8529411764705882,0.31897158992671304,0.7976190476190476,0.9588380546308878,0.90625,0.8055555555555556,0.5714285714285714,29,4,3,7,43,36,7
PILOT-R01-R05-core_only-F4,R05,core_only,4,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.813953488372093,0.8823529411764706,0.46334820431459367,0.7579365079365079,0.946249177085425,0.9375,0.8333333333333334,0.7142857142857143,30,5,2,6,43,36,7
PILOT-R01-R05-sensplus-F1,R05,sensplus,1,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6666666666666666,0.7761194029850746,0.1643989873053573,0.6959459459459459,0.9279880585853542,0.8666666666666667,0.7027027027027027,0.5,26,4,4,11,45,37,8
PILOT-R01-R05-sensplus-F2,R05,sensplus,2,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6363636363636364,0.7333333333333333,0.2797154638927579,0.6909722222222223,0.9221243720781004,0.9166666666666666,0.6111111111111112,0.75,22,6,2,14,44,36,8
PILOT-R01-R05-sensplus-F3,R05,sensplus,3,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7045454545454546,0.8059701492537313,0.21134098610290408,0.7465277777777778,0.9407408530883412,0.8709677419354839,0.75,0.5,27,4,4,9,44,36,8
PILOT-R01-R05-sensplus-F4,R05,sensplus,4,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7727272727272727,0.8529411764705882,0.3728720488516333,0.7291666666666667,0.9264231163789511,0.90625,0.8055555555555556,0.625,29,5,3,7,44,36,8
PILOT-R01-R06-core_only-F1,R06,core_only,1,47,47,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7941176470588235,0.12690579427752563,0.6293436293436294,0.9135957096679426,0.8709677419354839,0.7297297297297297,0.42857142857142855,27,3,4,10,44,37,7
PILOT-R01-R06-core_only-F2,R06,core_only,2,47,47,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6363636363636364,0.75,0.1336306209562122,0.6805555555555556,0.9192552678510528,0.8571428571428571,0.6666666666666666,0.5,24,4,4,12,44,36,8
PILOT-R01-R06-core_only-F3,R06,core_only,3,47,47,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6511627906976745,0.7540983606557377,0.2642916725578419,0.7658730158730158,0.9463318085044344,0.92,0.6388888888888888,0.7142857142857143,23,5,2,13,43,36,7
PILOT-R01-R06-core_only-F4,R06,core_only,4,47,47,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6976744186046512,0.7936507936507936,0.3121728151987113,0.8134920634920636,0.9617516915191632,0.9259259259259259,0.6944444444444444,0.7142857142857143,25,5,2,11,43,36,7
PILOT-R01-R06-sensplus-F1,R06,sensplus,1,47,47,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6222222222222222,0.7384615384615385,0.11722043929149135,0.6216216216216216,0.9010192229131093,0.8571428571428571,0.6486486486486487,0.5,24,4,4,13,45,37,8
PILOT-R01-R06-sensplus-F2,R06,sensplus,2,47,47,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.78125,0.25612535683274,0.6944444444444444,0.9256740136186954,0.8928571428571429,0.6944444444444444,0.625,25,5,3,11,44,36,8
PILOT-R01-R06-sensplus-F3,R06,sensplus,3,47,47,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7272727272727273,0.8125,0.3786200927092679,0.7291666666666666,0.9269431538141182,0.9285714285714286,0.7222222222222222,0.75,26,6,2,10,44,36,8
PILOT-R01-R06-sensplus-F4,R06,sensplus,4,47,47,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6590909090909091,0.7619047619047619,0.23103442669455732,0.7430555555555556,0.9273534523459714,0.8888888888888888,0.6666666666666666,0.625,24,5,3,12,44,36,8
PILOT-R01-R07-core_only-F1,R07,core_only,1,48,48,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.78125,0.2929308750767038,0.7760617760617761,0.9510767821975399,0.9259259259259259,0.6756756756756757,0.7142857142857143,25,5,2,12,44,37,7
PILOT-R01-R07-core_only-F2,R07,core_only,2,48,48,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7272727272727273,0.8235294117647058,0.24056261216234406,0.6875,0.9191175962042664,0.875,0.7777777777777778,0.5,28,4,4,8,44,36,8
PILOT-R01-R07-core_only-F3,R07,core_only,3,48,48,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6976744186046512,0.8,0.23134942932427308,0.6984126984126984,0.9198369330596546,0.896551724137931,0.7222222222222222,0.5714285714285714,26,4,3,10,43,36,7
PILOT-R01-R07-core_only-F4,R07,core_only,4,48,48,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.627906976744186,0.7241379310344828,0.3253132261596651,0.8134920634920635,0.9637306161607704,0.9545454545454546,0.5833333333333334,0.8571428571428571,21,6,1,15,43,36,7
PILOT-R01-R07-sensplus-F1,R07,sensplus,1,48,48,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6666666666666666,0.7619047619047619,0.30858348347958914,0.7905405405405405,0.9483410864503208,0.9230769230769231,0.6486486486486487,0.75,24,6,2,13,45,37,8
PILOT-R01-R07-sensplus-F2,R07,sensplus,2,48,48,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7272727272727273,0.8235294117647058,0.24056261216234406,0.7152777777777778,0.9325589137677827,0.875,0.7777777777777778,0.5,28,4,4,8,44,36,8
PILOT-R01-R07-sensplus-F3,R07,sensplus,3,48,48,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7878787878787878,0.18401748249129446,0.7222222222222222,0.9192992366486598,0.8666666666666667,0.7222222222222222,0.5,26,4,4,10,44,36,8
PILOT-R01-R07-sensplus-F4,R07,sensplus,4,48,48,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7666666666666667,0.39805662169354006,0.7986111111111112,0.9513991385726364,0.9583333333333334,0.6388888888888888,0.875,23,7,1,13,44,36,8
PILOT-R01-R08-core_only-F1,R08,core_only,1,49,49,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7727272727272727,0.8648648648648649,0.15057915057915058,0.6293436293436294,0.9089071127065507,0.8648648648648649,0.8648648648648649,0.2857142857142857,32,2,5,5,44,37,7
