model_key,analysis_branch,replicate,n_folds,accuracy_mean,accuracy_sd,f1_mean,f1_sd,mcc_mean,mcc_sd,auroc_mean,auroc_sd,auprc_mean,auprc_sd,precision_mean,precision_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd
linear_svm,core_only,R01,4,0.6674418604651162,0.05002252962760209,0.7748579545454546,0.04125843838474331,0.19129516698538718,0.06884291249571409,0.6967369154869154,0.054694950052665184,0.9284322545899217,0.02219857241426083,0.8843915343915344,0.021952890408174348,0.6901276276276276,0.05264675883423675,0.5535714285714286,0.0357142857142857
linear_svm,core_only,R02,4,0.6955602536997886,0.05005260296723771,0.7942640692640692,0.0399229892151257,0.25282962040122536,0.17660176204472408,0.7039059148434148,0.0727308314291582,0.9316698125926941,0.018190501349284776,0.907260101010101,0.04858092989343963,0.7100225225225225,0.06761308387948506,0.6116071428571428,0.25015938796646253
linear_svm,core_only,R03,4,0.7297832980972515,0.04750480203097784,0.8174417075736325,0.037291208201648364,0.3604940404709877,0.08069397672318354,0.7676828614328615,0.04642790900764295,0.9458473299939717,0.012539858091933496,0.9301167582417582,0.028475151034578473,0.7304804804804805,0.05513121495372371,0.7276785714285714,0.0960253916958433
linear_svm,core_only,R04,4,0.6783826638477801,0.07097621885455287,0.7769530447015234,0.06376182217510697,0.2677979194631816,0.14260719306974023,0.7616131756756757,0.08222464193622635,0.9454819701789331,0.02529711140845022,0.9131032202152891,0.05191366144635987,0.6837462462462462,0.10156222270251605,0.6607142857142857,0.22868300847974457
linear_svm,core_only,R05,4,0.6956923890063424,0.04029960774775683,0.7924963251922207,0.039756320656676176,0.2781757982226182,0.04368367200305326,0.7388996138996139,0.037400876849176715,0.9430967503311727,0.01309244958484529,0.9113095238095238,0.013934166560380502,0.7032657657657657,0.06254666965301572,0.6517857142857143,0.09392698713130657
linear_svm,core_only,R06,4,0.7414112050739958,0.009816031832770956,0.8284171977110708,0.011355163093178917,0.35291634521475224,0.15186431022762295,0.7595318532818532,0.09615333870415008,0.9414207637620838,0.030055985184909605,0.9300789760348583,0.06132366099360075,0.7513138138138138,0.052664598843841934,0.6964285714285714,0.2758721482442016
linear_svm,core_only,R07,4,0.6897463002114165,0.028084063461607443,0.786169354748871,0.030356595617233126,0.2977617989262954,0.10547618240890859,0.7642139907764909,0.03692246938993684,0.9467488586926627,0.013907988413603847,0.9235111662531017,0.055269993766053946,0.68993993993994,0.07102435408567753,0.6964285714285714,0.221121138345318
linear_svm,core_only,R08,4,0.6835359408033826,0.04294187396607699,0.7806299603174603,0.04949454871893628,0.26417958308500905,0.145983389254306,0.716232974045474,0.08666974540659944,0.9394963636984986,0.025682629832854822,0.9189814814814815,0.060878902147980404,0.6888138138138138,0.10441015064463663,0.6517857142857143,0.30075726420618526
linear_svm,core_only,R09,4,0.6836680761099365,0.056382410394229046,0.7789271390374332,0.059570672757130974,0.29197465917331483,0.11517456029598853,0.7448017213642213,0.06355449380958357,0.9424984910978242,0.01837970451177056,0.9248847926267281,0.05532385538094713,0.6824324324324325,0.1037684924828548,0.6919642857142857,0.2375179012229616
linear_svm,core_only,R10,4,0.6835359408033826,0.13838589806831803,0.7765737061446016,0.11689016749400703,0.2971814790798931,0.23999157340022953,0.6975647522522523,0.12711143558466934,0.9223487269557018,0.053750892817957995,0.9130005561735262,0.06740413757116041,0.6824324324324325,0.14151734625629311,0.6964285714285714,0.221121138345318
linear_svm,sensplus,R01,4,0.6555555555555556,0.0360182814740918,0.7607600732600732,0.027115638502635202,0.20870030991685884,0.0984053082653865,0.6845673798798798,0.06163616108121861,0.9228053841276656,0.02201458445342543,0.8824382833003522,0.03136177356115869,0.6692942942942943,0.03437367331672821,0.59375,0.11967838846954226
linear_svm,sensplus,R02,4,0.6779040404040404,0.05716281563282498,0.7764649961510871,0.048033458494475365,0.2539003173242175,0.12526564947929783,0.701928490990991,0.04947563831194693,0.9252183019320903,0.015764585003693914,0.8956417848423459,0.04579029315830758,0.6893768768768769,0.07771237360813661,0.625,0.1767766952966369
linear_svm,sensplus,R03,4,0.6666666666666666,0.02142747821777415,0.7666524503722084,0.01720012379379729,0.256775509379553,0.05091063694086841,0.7480996621621622,0.0425347933944105,0.9383496110205548,0.007500087006085583,0.8983516483516484,0.01693520330485985,0.6689189189189189,0.023123448121164195,0.65625,0.0625
linear_svm,sensplus,R04,4,0.6613636363636364,0.07842281390671232,0.7581986679508231,0.06563836928163994,0.27194951120925204,0.17685883234235117,0.7423517267267268,0.09117699354344598,0.9363083530863323,0.02492065693552402,0.9076468710089399,0.05887706467909461,0.6559684684684685,0.08932645788309194,0.6875,0.21650635094610965
linear_svm,sensplus,R05,4,0.6781565656565657,0.051826770902944574,0.779539815023686,0.03911733224938871,0.2345450626175718,0.11814633874313298,0.7180696321321322,0.02332044695465139,0.9336429610818168,0.006368987057818274,0.8860963748894783,0.031498448817972445,0.6966966966966966,0.04924909665739687,0.59375,0.11967838846954226
linear_svm,sensplus,R06,4,0.7008838383838384,0.03912185891434332,0.7941318426197459,0.024899454948293112,0.31204217921500094,0.13282794359471187,0.7364630255255256,0.07615717028552092,0.9308663404066925,0.020341681156256893,0.9121826449412657,0.04266261209156613,0.7036411411411412,0.02278273935178847,0.6875,0.1613743060919757
linear_svm,sensplus,R07,4,0.6724747474747474,0.026335369342391293,0.7703867832169734,0.03155929598943946,0.2641646750864819,0.08574005697165181,0.7618477852852853,0.0356596213661051,0.9424917551547772,0.010065941757786181,0.9035390369331464,0.0428119569906508,0.6762387387387387,0.07018984204454765,0.65625,0.1875
linear_svm,sensplus,R08,4,0.6776515151515151,0.05249185515551516,0.769518742210718,0.054465193221091716,0.30817130061149,0.04651594990179831,0.7209084084084084,0.025510340386906704,0.9351421952586687,0.011552359849251749,0.9192736892736892,0.030441044117523405,0.6681681681681682,0.09591018365060332,0.71875,0.15728821740147395
linear_svm,sensplus,R09,4,0.7006313131313131,0.037930099925509664,0.7911026826281063,0.035207497989567314,0.3316178686762773,0.07039267227439969,0.7490850225225225,0.025239094916480666,0.9393886777187507,0.0074942062696569545,0.9201649175412294,0.02918408087461142,0.696509009009009,0.06014875520434741,0.71875,0.11967838846954226
linear_svm,sensplus,R10,4,0.6891414141414142,0.11382251867972376,0.7835859224677844,0.09470431890857199,0.2716708020119234,0.17790595391932762,0.7147147147147147,0.13680306084097116,0.920047757096961,0.062481992054806916,0.8906615240766713,0.04559176242960017,0.7032657657657657,0.11916438951425413,0.625,0.10206207261596575
logistic_regression_l2,core_only,R01,4,0.6666666666666666,0.047786155061775006,0.7764274878314057,0.03609050465830284,0.17006079291579315,0.08788314286008955,0.6874061561561562,0.05718850500144981,0.920708352047143,0.030175052241953673,0.8778439153439154,0.022485605322961916,0.696509009009009,0.045548467329750014,0.5178571428571428,0.06838765055402414
logistic_regression_l2,core_only,R02,4,0.672436575052854,0.05776091560802157,0.775339017124477,0.04516466811121815,0.2282806687659109,0.18494857699386166,0.6917397308022308,0.06609672575672093,0.9274966748767333,0.015628680481394923,0.9032794540229885,0.05127364535222529,0.6824324324324325,0.06778687576508786,0.6116071428571428,0.25015938796646253
logistic_regression_l2,core_only,R03,4,0.7414112050739957,0.050229726641841846,0.8276848591549295,0.03966562059122307,0.3554344897877878,0.08823697367648144,0.7667075557700558,0.08288323108922865,0.9417419857396954,0.030476896596129736,0.9243697478991597,0.030347267058852167,0.7511261261261262,0.06209787384223003,0.6919642857142857,0.1248936622521267
logistic_regression_l2,core_only,R04,4,0.6782505285412262,0.08452405444225956,0.7779220779220779,0.08008385003731815,0.23290488087030997,0.08059251453790246,0.7463434416559417,0.05815095327542738,0.9420289579995579,0.01726911250517665,0.898892832995267,0.036191698530407324,0.6978228228228228,0.1335710564194163,0.5892857142857143,0.18785397426261308
logistic_regression_l2,core_only,R05,4,0.7248942917547568,0.08048822749640128,0.814126559714795,0.06677800175889857,0.3183903244359153,0.106346673694989,0.7452240186615187,0.04714207049556662,0.941444667719021,0.019562558941048466,0.9142420977011494,0.01754642885302079,0.7381756756756757,0.10165097704571048,0.6517857142857143,0.09392698713130657
logistic_regression_l2,core_only,R06,4,0.6667547568710359,0.027986079085300118,0.7729667003413387,0.024212103241562144,0.20925022574757277,0.09331228984655443,0.7223160660660661,0.0828615001298685,0.9352336193856483,0.022729458170029297,0.8935091312510668,0.034560260554840065,0.6824324324324325,0.03884122517255394,0.5892857142857143,0.1472537723434879
logistic_regression_l2,core_only,R07,4,0.6836680761099365,0.04167439479454854,0.7822293356997971,0.042414868411285354,0.2725390356807465,0.04442228279998368,0.7438666344916345,0.060902887980775776,0.9384404819055578,0.022499873460406404,0.9130057761523279,0.03467780269764284,0.6897522522522522,0.08231226803234003,0.6607142857142857,0.15838255590059608
logistic_regression_l2,core_only,R08,4,0.6835359408033826,0.07065257254676795,0.7827437185646141,0.07280006499207539,0.21202845072472015,0.12030284157922314,0.7080551533676533,0.07522593179910883,0.9338430544189984,0.024931623372853377,0.8994753930793975,0.06711932721289876,0.7092717717717718,0.14027106934367023,0.5535714285714286,0.31066638930237833
logistic_regression_l2,core_only,R09,4,0.7242336152219873,0.016389750092395773,0.8177361275464112,0.015415516355298416,0.293944280180194,0.14565418268075792,0.7252989596739597,0.06772205729201514,0.9367864598380493,0.020280296833945617,0.9133064516129032,0.05930755772287691,0.7447447447447447,0.05298690797944366,0.625,0.25671260301009313
logistic_regression_l2,core_only,R10,4,0.6372885835095138,0.1181273874902086,0.7459759538706907,0.10168374843304656,0.16472702539322417,0.17584673017002733,0.6632145538395539,0.11135153262663516,0.9135366806836033,0.05221744574213194,0.8747947454844006,0.05182828933361782,0.6546546546546547,0.12256489826381185,0.5535714285714286,0.12198750911856666
logistic_regression_l2,sensplus,R01,4,0.6329545454545454,0.05160976160682153,0.744858870967742,0.03835116942802014,0.1488974051190332,0.11989748348586687,0.6786786786786787,0.04794939852195664,0.9167930184269732,0.0153204225660007,0.8636118830084347,0.033881707562425846,0.6554054054054054,0.045282158708709386,0.53125,0.11967838846954226
logistic_regression_l2,sensplus,R02,4,0.6723484848484849,0.06527912098338667,0.7696517412935323,0.05561913146531343,0.2660809315086102,0.12145994484970886,0.6743853228228228,0.05114804444986398,0.9159093911604026,0.02132056144362846,0.9008064516129033,0.041419372517926684,0.6756756756756757,0.08373703942492552,0.65625,0.15728821740147395
logistic_regression_l2,sensplus,R03,4,0.7171717171717171,0.04935560678205068,0.8043480028623471,0.0427909979732521,0.35256829422275443,0.03531326610249135,0.745213963963964,0.05769012931832889,0.9293327750472249,0.0245378508256169,0.9208970658970659,0.008648224122187546,0.7165915915915916,0.07173370060076341,0.71875,0.0625
logistic_regression_l2,sensplus,R04,4,0.6558080808080808,0.07153020157794793,0.7535509364306554,0.07744684551496889,0.23539579755758067,0.11126306330079945,0.7399352477477478,0.07243510305338965,0.9352783898997354,0.02045945934446826,0.8994548984468339,0.0677862513975797,0.6632882882882882,0.13226359030732776,0.625,0.25
