feature_set,model_key,analysis_branch,n_fold_runs,accuracy_mean,accuracy_sd,f1_mean,f1_sd,precision_mean,precision_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,mcc_mean,mcc_sd,auroc_mean,auroc_sd,auprc_mean,auprc_sd
AAC_reference,logistic_regression_l2,core_only,40,0.6937676180408738,0.05404319927919806,0.7909798613183996,0.04500753610935384,0.9133355327173929,0.0494868665858921,0.7027402402402403,0.07219327535798645,0.6504464285714285,0.21663424187799923,0.2753864932881743,0.14698810318202088,0.7260205518018018,0.08165515099870858,0.9362883448772973,0.025876669282449537
AAC_reference,logistic_regression_l2,core_plus_sensitivity,40,0.6835984848484848,0.06465314038755586,0.7792515931872485,0.053455199421856676,0.9024335233790896,0.04643539041914268,0.690990990990991,0.08150929703183779,0.65,0.1794757322356938,0.2758546488014154,0.14030505080524983,0.7249038100600601,0.07635639132407661,0.9308394817473302,0.025634868607663352
AAC_reference,linear_svm,core_only,40,0.6982740192623913,0.05903696966125449,0.7945390163102019,0.04859246223835044,0.9129595619052266,0.048066428397050345,0.7089527027027027,0.07838609782755539,0.6459821428571428,0.21190247894600986,0.2793657397095362,0.14689603110439808,0.7219675032175032,0.08526073858992168,0.9325315465845225,0.028839071274547167
AAC_reference,linear_svm,core_plus_sensitivity,40,0.6864141414141414,0.06161146971152047,0.7820617369396412,0.051908315601808155,0.9009429368551103,0.04487284693558983,0.696509009009009,0.08216779675072312,0.640625,0.17720112974982802,0.2737374496815026,0.13007703419532005,0.7213705893393394,0.07928341807207269,0.9274522288911102,0.028898450183342642
CKSAAP_k1,logistic_regression_l2,core_only,40,0.7724806201550387,0.06995151085601885,0.853026035453793,0.050781479861467874,0.912907635598527,0.037667824452528094,0.8047297297297298,0.08071070607905519,0.6107142857142857,0.17539295792950502,0.3603533025230893,0.16189365405169218,0.7301108027670528,0.103047833768789,0.9154059239662449,0.04415509625600294
CKSAAP_k1,logistic_regression_l2,core_plus_sensitivity,40,0.759179292929293,0.06598307904728037,0.842306876967685,0.048021826667826735,0.9012201668597484,0.03902846947846772,0.7942942942942943,0.07530015539722436,0.6,0.1726490437497188,0.34521521197483956,0.15779964112911202,0.7323198198198199,0.0901983935754917,0.9109265938622488,0.042498086928285196
CKSAAP_k1,linear_svm,core_only,40,0.7786278482499412,0.0677330094175488,0.8599973490260676,0.046524778614665516,0.9016287428930089,0.035237685006666034,0.8247372372372372,0.07120967500846924,0.5477678571428571,0.16908828284849003,0.33465573968935486,0.171999723825693,0.7145937231874732,0.10737161799244814,0.9088580360938527,0.047308472993816846
CKSAAP_k1,linear_svm,core_plus_sensitivity,40,0.7653914141414141,0.06728471444589872,0.8485873406698485,0.047834214347261136,0.8930208513868791,0.036976605972793376,0.8115990990990991,0.07446680317957295,0.55625,0.1673463704186849,0.33162102576525043,0.16457327495526092,0.7167605105105105,0.09319500758935179,0.9054397555028423,0.0446919142910197
