model_key,analysis_branch,split,n_folds,accuracy_mean,accuracy_sd,accuracy_mean_sd,f1_mean,f1_sd,f1_mean_sd,mcc_mean,mcc_sd,mcc_mean_sd,auroc_mean,auroc_sd,auroc_mean_sd,auprc_mean,auprc_sd,auprc_mean_sd,precision_mean,precision_sd,precision_mean_sd,sensitivity_mean,sensitivity_sd,sensitivity_mean_sd,specificity_mean,specificity_sd,specificity_mean_sd
logistic_regression_l2,sensplus,P02A_sequence_cluster_hard_split,4,0.643561,0.103987,0.644 ± 0.104,0.753751,0.084286,0.754 ± 0.084,0.142283,0.223447,0.142 ± 0.223,0.636379,0.084601,0.636 ± 0.085,0.902119,0.029586,0.902 ± 0.030,0.859112,0.073283,0.859 ± 0.073,0.675676,0.105485,0.676 ± 0.105,0.500000,0.250000,0.500 ± 0.250
linear_svm,sensplus,P02A_sequence_cluster_hard_split,4,0.620960,0.126526,0.621 ± 0.127,0.733382,0.108587,0.733 ± 0.109,0.104113,0.204704,0.104 ± 0.205,0.623170,0.111980,0.623 ± 0.112,0.895122,0.038697,0.895 ± 0.039,0.843917,0.065375,0.844 ± 0.065,0.654842,0.139773,0.655 ± 0.140,0.468750,0.187500,0.469 ± 0.188
